rural,declarante,boasaude,lnrnd,escolar,fem,idade,cp,empr
0,0,1,1.558279626,11,0,20,0,0
0,0,1,1.676063773,11,0,28,0,0
0,1,0,1.088299329,8,0,60,1,0
0,1,1,1.701297967,11,1,32,0,0
0,0,1,2.656885248,15,0,32,0,1
0,1,1,2.379255178,11,1,30,0,0
0,0,1,1.740599516,11,0,34,0,0
0,1,1,1.532964638,11,0,34,0,0
0,1,1,1.988980039,11,1,32,0,0
0,0,1,2.004563395,0,0,34,1,0
0,1,1,1.088305996,6,1,32,1,0
0,1,0,1.242430962,4,1,47,1,0
0,0,1,1.375960569,8,0,51,1,0
0,1,1,1.088282663,11,0,27,0,0
0,0,1,1.375960569,11,0,23,1,0
0,0,1,2.186884952,11,1,25,0,0
0,1,1,2.186884952,12,0,23,0,0
0,1,1,1.48973647,8,0,45,0,0
0,0,1,2.186884952,8,1,39,0,0
0,0,1,0.982923999,10,0,32,0,0
0,1,1,1.231767522,9,1,32,0,0
0,1,1,1.845960032,2,0,33,1,0
0,1,1,2.880032132,8,0,52,1,0
0,0,1,1.462971946,11,0,30,0,0
0,1,1,2.76225493,12,0,28,0,0
0,1,1,2.028279505,11,0,47,0,0
0,0,1,1.27060422,11,1,42,0,0
0,1,1,2.022582377,11,0,31,0,0
0,1,1,1.124001623,11,1,27,0,0
0,1,1,1.558282126,13,1,25,0,0
0,1,0,1.781463176,3,1,64,0,0
0,1,1,1.375960569,3,0,33,0,0
0,0,1,2.292243801,11,0,50,0,0
0,1,1,0.678816963,6,1,47,0,0
0,1,1,2.09727446,11,1,42,0,0
0,1,0,1.493742216,4,0,52,0,0
0,0,1,1.578899117,11,0,20,0,0
0,0,1,1.886783693,11,0,35,0,0
0,1,1,0.459707336,7,1,30,0,0
0,0,1,1.781423177,5,0,23,1,0
0,1,1,1.116459096,11,1,21,0,0
0,0,1,0.682825888,0,0,32,0,0
0,0,1,2.043785134,8,0,31,0,0
0,1,1,0.682900884,0,1,62,1,0
0,0,1,1.436584456,11,0,30,0,0
0,0,1,1.436584456,11,0,26,0,0
0,0,1,1.088285996,4,1,40,0,0
0,0,1,1.183594358,9,1,52,0,0
0,0,1,1.375960569,11,0,26,0,0
0,1,1,0.982923999,11,1,24,0,0
0,1,1,1.493742216,11,0,33,0,0
0,1,1,1.001272801,4,1,32,0,0
0,0,1,1.78142151,11,0,28,0,0
0,1,1,1.462971946,11,1,32,0,0
0,0,1,1.168324089,11,1,25,0,0
0,1,1,0.90596444,4,0,25,0,0
